idx,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
1188,46,47,38,13,0.000544,0.000388
1154,47,46,39,14,0.000166,0.000119
1070,70,71,41,18,0.000167,0.000119
1072,96,96,42,19,0.000173,0.000124
1168,69,69,43,19,0.000169,0.00012
1178,71,80,45,20,0.000167,0.00012
1115,82,103,45,25,0.000169,0.00012
1071,76,76,45,21,0.000168,0.00012
1061,86,187,46,41,0.00017,0.000121
1162,75,53,47,13,0.000167,0.000119
1066,79,101,48,28,0.000168,0.00012
1074,85,116,48,31,0.000169,0.00012
1158,92,91,48,23,0.000171,0.000122
1174,89,88,49,24,0.000173,0.000124
1064,108,127,49,28,0.000174,0.000124
1172,106,106,53,29,0.000172,0.000122
1060,133,163,53,38,0.000174,0.000124
1114,85,85,54,30,0.00017,0.000121
1065,146,175,54,36,0.000175,0.000125
1156,117,161,54,41,0.000173,0.000123
1068,116,94,54,21,0.000172,0.000123
1073,128,130,55,34,0.000173,0.000124
1088,131,162,55,35,0.000174,0.000124
1062,113,113,56,32,0.000172,0.000123
1063,104,65,57,16,0.000171,0.000122
1157,130,158,58,41,0.000177,0.000126
1185,128,127,59,34,0.000174,0.000124
1171,115,151,59,41,0.000173,0.000123
1089,149,140,59,32,0.000175,0.000125
1090,127,127,60,36,0.000176,0.000125
1103,175,198,60,37,0.000177,0.000126
1183,129,128,62,37,0.000176,0.000126
1165,147,146,63,38,0.000178,0.000127
1095,145,191,64,41,0.000175,0.000125
1187,157,154,64,39,0.000175,0.000125
1153,137,135,66,40,0.000178,0.000127
1082,202,194,67,41,0.000179,0.000128
1130,163,128,69,34,0.000177,0.000126
1159,179,161,71,41,0.000181,0.000129
1069,166,148,71,41,0.000177,0.000127
1111,177,148,71,41,0.000179,0.000128
1139,180,163,72,41,0.000178,0.000127
1125,195,179,72,41,0.000179,0.000128
1166,162,140,72,41,0.000177,0.000126
1136,192,164,73,41,0.000181,0.000129
1050,218,173,74,41,0.000183,0.00013
1058,190,195,74,41,0.000181,0.000129
1131,178,174,75,41,0.000179,0.000127
1177,229,138,75,41,0.000184,0.000131
1167,177,160,75,41,0.000181,0.000129
1093,164,126,76,40,0.000177,0.000126
1197,182,135,77,41,0.000179,0.000128
1194,181,134,80,41,0.000179,0.000128
1113,212,147,81,41,0.000183,0.000131
1160,234,155,82,41,0.000185,0.000132
1143,227,164,85,40,0.000184,0.000131
1075,239,149,85,40,0.000186,0.000132
1105,232,160,86,41,0.000183,0.000131
1129,229,139,86,32,0.000185,0.000132
1138,208,132,87,41,0.000183,0.000131
1135,217,132,87,41,0.000181,0.000129
1146,237,141,89,40,0.000186,0.000133
1097,233,147,89,41,0.000185,0.000132
1181,237,135,90,41,0.000183,0.00013
1106,261,116,93,41,0.000185,0.000132
1180,281,165,94,41,0.000185,0.000132
1199,288,144,94,41,0.000186,0.000133
1077,287,149,95,41,0.000183,0.000131
1117,296,17,95,7,0.000187,0.000133
1122,242,148,95,41,0.000185,0.000132
1083,303,178,97,40,0.000186,0.000133
1145,222,113,98,40,0.000186,0.000132
1164,324,175,98,41,0.000183,0.000131
1119,291,153,98,41,0.000186,0.000133
1184,313,158,99,41,0.000183,0.000131
1196,219,88,100,41,0.000185,0.000132
1079,243,131,100,41,0.000188,0.000134
1096,306,147,101,41,0.000186,0.000133
1051,306,158,102,41,0.000186,0.000133
1059,240,123,104,41,0.000186,0.000132
1085,337,159,105,41,0.000185,0.000132
1099,305,146,106,41,0.000187,0.000133
1052,349,158,107,41,0.000185,0.000132
1053,271,134,107,41,0.000184,0.000131
1092,300,139,109,41,0.000187,0.000133
1126,279,143,109,41,0.000187,0.000134
1109,276,127,109,40,0.000189,0.000135
1116,348,148,110,40,0.000183,0.00013
1067,319,150,112,41,0.000186,0.000132
1179,358,129,112,41,0.000185,0.000132
1120,317,133,113,41,0.000186,0.000133
1128,308,149,114,41,0.000184,0.000131
1055,406,177,119,41,0.000187,0.000133
1176,373,163,119,41,0.000186,0.000133
1098,372,125,119,41,0.000186,0.000133
1118,394,145,120,41,0.000187,0.000134
1124,355,146,120,41,0.000186,0.000133
1189,406,186,121,41,0.000187,0.000133
1192,328,126,122,40,0.000186,0.000133
1087,411,151,122,40,0.000184,0.000131
1081,438,168,123,41,0.000186,0.000133
1102,428,176,124,41,0.000186,0.000133
1186,350,147,124,41,0.000186,0.000133
1163,348,141,125,41,0.000186,0.000133
1190,308,106,128,41,0.000188,0.000134
1132,339,95,130,41,0.000189,0.000135
1147,357,139,131,41,0.000189,0.000135
1191,374,151,132,41,0.000192,0.000137
1104,372,136,133,41,0.00019,0.000135
1094,403,137,136,41,0.00019,0.000136
1182,451,155,139,40,0.000189,0.000135
1193,409,59,140,15,0.00019,0.000135
1155,409,130,140,41,0.00019,0.000135
1198,468,154,142,41,0.000189,0.000135
1110,436,133,150,41,0.000192,0.000137
1144,515,156,152,40,0.000191,0.000137
1137,405,125,155,41,0.000191,0.000136
1134,456,147,155,41,0.000189,0.000135
1078,517,172,156,41,0.000189,0.000135
1084,535,147,160,41,0.000191,0.000136
1100,500,122,163,40,0.000192,0.000137
1108,503,155,163,41,0.000189,0.000135
1142,549,68,165,16,0.000189,0.000135
1149,510,72,167,18,0.000192,0.000137
1170,540,127,172,41,0.000191,0.000136
1141,525,152,172,41,0.000189,0.000135
1127,530,171,174,41,0.000189,0.000135
1107,675,177,180,41,0.00019,0.000135
1057,577,142,183,41,0.000192,0.0
1112,679,152,186,41,0.000192,0.000137
1054,600,91,190,29,0.00019,0.000135
1169,664,167,192,41,0.00019,0.000136
1091,596,113,205,41,0.000196,0.00014
1150,663,121,209,41,0.000196,0.00014
1140,701,59,217,15,0.000197,0.00014
1101,778,161,226,41,0.000197,0.000141
1080,801,150,231,41,0.000197,0.000141
1152,845,137,238,41,0.000199,0.000142
1173,842,137,245,40,0.000202,0.000144
1151,940,154,262,41,0.000201,0.000143
1175,952,45,264,18,0.000203,0.000145
1148,656,146,269,41,0.000203,0.000145
1086,982,174,271,41,0.000205,0.000146
1133,945,164,291,41,0.000206,0.000147
1123,999,153,301,41,0.000208,0.000148
1195,1126,158,305,41,0.000207,0.000148
1161,1144,187,344,40,0.000211,0.00015
1121,1397,143,413,41,0.00022,0.000157
1056,1610,167,429,41,0.000221,0.000158
1076,1620,152,438,41,0.000222,0.000158
