Record_Idx,Input_Length,Output_Length,Input_Tokens,Output_Tokens,Energy_kWh,Carbon_Emissions_kgCO2e
20,2938,1154,942,324,0.001318,0.000941
69,3115,1184,996,324,0.001214,0.000866
13,3349,594,1041,164,0.000689,0.000491
94,3255,1232,1046,324,0.001211,0.000864
95,3581,1156,1096,319,0.001263,0.000901
24,3546,708,1104,170,0.000711,0.000507
89,3705,1188,1162,324,0.001281,0.000914
14,3699,1128,1209,323,0.001346,0.00096
99,3658,620,1238,184,0.001351,0.000964
97,3852,1307,1246,322,0.001352,0.000965
29,4364,621,1272,162,0.000699,0.000499
39,4471,651,1295,166,0.00081,0.000578
84,4792,236,1361,95,0.000468,0.000334
4,4415,922,1369,229,0.001055,0.000753
88,4093,1256,1375,324,0.001425,0.001017
6,4945,598,1392,171,0.000791,0.000564
45,5087,377,1421,125,0.000628,0.000448
67,4826,326,1429,121,0.0006,0.000428
30,5259,624,1430,162,0.000732,0.000522
77,5370,736,1458,168,0.000743,0.00053
50,4376,1022,1460,326,0.001497,0.001068
18,4619,935,1481,280,0.001259,0.000898
70,5088,336,1483,125,0.00064,0.000457
28,5082,91,1485,30,0.000286,0.000204
80,5294,610,1486,165,0.000779,0.000556
10,4450,1072,1488,325,0.001449,0.001034
41,5064,282,1495,110,0.000545,0.000389
53,4481,0,1521,4,0.000776,0.000554
66,4508,1075,1528,325,0.001484,0.001059
25,5295,633,1553,165,0.000745,0.000532
52,5450,366,1555,101,0.000603,0.00043
9,4625,495,1590,164,0.001468,0.001048
75,5309,611,1596,171,0.000832,0.000594
98,5826,624,1628,178,0.00087,0.000621
55,5489,490,1634,161,0.00072,0.000514
86,5670,1218,1653,325,0.001425,0.001017
42,5076,963,1659,302,0.001398,0.000998
51,5235,586,1678,168,0.000805,0.000575
19,6247,659,1697,165,0.000777,0.000555
49,5993,23,1703,12,0.000769,0.000549
83,6089,758,1703,259,0.001224,0.000874
61,5784,1334,1783,325,0.001507,0.001075
87,6848,1201,1787,322,0.001497,0.001068
93,5785,503,1793,165,0.00079,0.000564
5,5262,1252,1796,324,0.001506,0.001075
58,6104,498,1813,183,0.00087,0.000621
60,5685,596,1820,192,0.00092,0.000656
73,5516,995,1851,324,0.001552,0.001107
81,5772,645,1862,172,0.000809,0.000577
43,6424,661,1888,171,0.000825,0.000589
48,6823,709,1888,174,0.000834,0.000595
79,6763,358,1895,128,0.000624,0.000446
90,6818,357,1937,129,0.000692,0.000493
56,6573,572,1943,165,0.000834,0.000595
16,5818,552,1997,165,0.000805,0.000574
22,6096,562,2008,165,0.000794,0.000567
2,6538,667,2026,173,0.000873,0.000623
21,6496,133,2041,50,0.000403,0.000288
27,6812,26,2050,13,0.000258,0.000184
62,6601,600,2058,162,0.000814,0.000581
15,7292,954,2061,209,0.001002,0.000715
8,6668,598,2063,162,0.00082,0.000585
33,6469,848,2089,228,0.001118,0.000797
26,6876,4,2094,6,0.000223,0.000159
34,7318,1309,2103,325,0.001574,0.001123
37,7042,533,2123,167,0.000828,0.000591
96,7563,616,2152,173,0.000862,0.000615
0,7192,1002,2191,322,0.001549,0.001105
74,6589,735,2195,221,0.001121,0.0008
63,7532,97,2199,35,0.000348,0.000249
32,6823,606,2232,180,0.000894,0.000638
85,7110,462,2257,165,0.000849,0.000605
78,8116,43,2263,17,0.000273,0.000195
31,7331,639,2282,162,0.000803,0.000573
68,8091,549,2307,162,0.000811,0.000578
47,6842,139,2344,51,0.001091,0.000779
40,8320,43,2346,21,0.000322,0.00023
64,8160,950,2348,257,0.001352,0.000964
76,7189,1101,2362,325,0.001618,0.001154
3,6854,1168,2382,325,0.001646,0.001174
91,8020,565,2392,165,0.000867,0.000619
12,7253,757,2446,211,0.001044,0.000745
7,8767,636,2464,173,0.000848,0.000605
57,8938,937,2465,275,0.001451,0.001035
35,8933,670,2471,173,0.000816,0.000582
71,7708,674,2487,165,0.000854,0.000609
38,8423,1125,2491,325,0.001583,0.001129
46,8868,911,2507,287,0.001487,0.001061
92,7355,788,2515,228,0.001148,0.000819
11,7658,1114,2560,325,0.00165,0.001177
59,9202,1139,2739,325,0.001702,0.001214
72,9500,592,2759,194,0.001015,0.000724
17,9452,1088,2762,321,0.001706,0.001217
36,9265,550,2795,165,0.000894,0.000638
65,8910,492,2808,162,0.000917,0.000654
23,9021,61,2839,29,0.000964,0.000688
82,8814,1003,2949,323,0.001746,0.001246
44,10918,473,3308,164,0.00177,0.001262
1,11217,0,3758,4,0.00093,0.000664
54,14186,102,4258,30,0.001061,0.000757
