id,input_length,output_length,input_tokens,output_tokens,energy_kwh,carbon_kg
5937,2873,403,715,99,0.000293,0.000209
5888,3341,84,931,25,0.000282,0.000201
6245,3917,193,967,43,0.000281,0.0002
6728,5057,219,1348,56,0.000295,0.00021
4807,5543,141,1592,49,0.000302,0.000216
2796,7363,379,1828,99,0.000312,0.000223
4963,7554,40,1996,9,0.000317,0.000226
6413,8033,198,2208,66,0.000327,0.000233
6668,8078,176,2053,38,0.000325,0.000232
715,8154,175,2079,37,0.000326,0.000233
3019,8564,104,2256,26,0.000336,0.000239
2727,8734,125,2336,44,0.000338,0.000241
1778,8825,255,2154,66,0.000335,0.000239
3292,8990,198,2355,50,0.000343,0.000245
4451,9254,258,2459,73,0.000347,0.000248
4938,10036,75,2433,24,0.00035,0.000249
6852,10171,20,2483,16,0.000352,0.000251
3436,10380,359,2644,99,0.000354,0.000252
380,10795,108,2758,29,0.000361,0.000258
3356,10961,100,2831,30,0.000363,0.000259
78,11549,37,3106,8,0.000376,0.000268
2913,11607,2,3145,3,0.000379,0.00027
6270,11761,126,3089,30,0.000378,0.00027
3602,11851,227,2929,65,0.000368,0.000262
7109,11966,120,3207,32,0.000381,0.000272
1789,12263,69,2863,19,0.000191,0.000136
1406,12351,89,2991,28,0.000369,0.000263
3893,12361,132,3021,44,0.000373,0.000266
5397,12586,333,3279,86,0.000381,0.000272
2207,12710,391,3246,100,0.000382,0.000273
1378,12758,114,3246,34,0.000383,0.000273
3542,13302,82,3212,20,0.000382,0.000273
6118,13360,163,3098,45,0.000375,0.000268
4860,13509,359,3914,99,0.00041,0.000292
5142,13815,2,3697,3,0.000396,0.000282
2657,14076,350,3734,83,0.0004,0.000285
2609,14145,101,3366,23,0.000387,0.000276
4071,14230,115,3673,26,0.000396,0.000282
2392,14482,176,3871,46,0.000405,0.000289
2124,14821,84,3857,24,0.000407,0.000291
3924,15744,2,4042,3,0.000432,0.000308
1974,15843,232,3994,59,0.000411,0.000293
2593,16080,21,4111,6,0.000454,0.000324
2627,16269,227,4090,48,0.000443,0.000316
3531,16322,21,4102,6,0.000459,0.000327
314,16530,168,4269,42,0.000469,0.000335
6881,16848,247,4436,53,0.000481,0.000343
1329,16927,31,4116,19,0.000461,0.000329
1531,17451,84,4482,20,0.000484,0.000345
2649,17702,200,4667,53,0.000493,0.000351
3168,18120,186,4616,45,0.00049,0.000349
1522,18173,68,4218,18,0.00047,0.000335
2052,19324,91,5516,21,0.000547,0.00039
3844,19423,253,5002,58,0.000515,0.000368
5597,20016,166,4805,48,0.000501,0.000357
415,20087,62,4636,16,0.000488,0.000348
1181,20469,183,5037,59,0.000517,0.000369
6276,20728,166,5101,36,0.000519,0.00037
4782,20874,216,4937,47,0.000509,0.000363
784,21662,222,5473,61,0.000541,0.000386
2248,21730,115,5821,35,0.000568,0.000405
5248,21742,66,5682,16,0.000482,0.000344
5141,21768,60,5061,23,0.000364,0.00026
5471,22512,195,5482,49,0.000544,0.000388
690,22831,96,5958,24,0.000576,0.000411
3210,22884,91,5259,24,0.000537,0.000383
5707,23605,311,5322,57,0.00054,0.000385
1195,25077,114,6291,28,0.000592,0.000422
2304,25119,369,6050,99,0.000577,0.000411
2035,25279,263,6211,71,0.000594,0.000423
5538,25347,110,6273,27,0.000592,0.000422
496,27263,38,6926,12,0.000645,0.000461
1762,27835,124,6726,41,0.000635,0.000453
2440,29331,78,6911,19,0.000649,0.000463
3442,30991,16,7854,5,0.000714,0.000509
2065,31482,434,7955,99,0.000715,0.00051
5861,32658,98,7818,21,0.000709,0.000506
5994,34022,94,8476,23,0.000753,0.000537
6647,34794,133,9019,40,0.00079,2e-06
6003,35564,45,9469,12,0.000832,0.000594
7130,35930,155,8589,35,0.000762,0.000544
362,36468,353,8931,89,0.000781,0.000557
652,36727,122,8489,29,0.000754,0.000538
2256,36878,136,9148,44,0.000808,0.000577
266,37471,258,8443,54,0.000762,0.000543
4316,40493,111,10313,45,0.000885,0.000631
4641,41029,170,10014,37,0.000863,0.000615
4480,42800,374,10679,69,0.000906,0.000646
6622,45555,121,11840,37,0.000862,0.000615
6157,48038,84,11701,19,0.000995,0.00071
4568,57111,141,13608,40,0.00112,0.000799
6521,57809,252,14392,56,0.001172,0.000836
4917,63632,394,15122,98,0.00124,0.000885
1697,71691,79,18815,21,0.001499,0.001069
660,78863,48,19076,14,0.001607,0.001146
2122,79748,56,19076,19,0.001617,0.001154
5364,89413,118,21058,33,0.001818,0.001297
5266,109063,226,25315,55,0.002246,0.001602
232,166457,168,37780,40,0.003682,0.002627
6778,228821,143,53535,47,0.005571,0.003975
